row_id,stage,arm,initialiser_used,valid,reason
A01,stage1,arm1a_full_warmstart,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A02,stage1,arm1b_full_random,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A03,stage1,arm2_filteronly_warmstart,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A04,stage2,B2_40k_25ep,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A05,stage2,B3_80k_13ep,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A06,stage2,B3_80k_13ep_filteronly,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A07,stage3,H1_hs_urformer_80k,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A08,stage3,X1_emgs_plus_former,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A09,stage4,C_H1_snr5_20,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A10,stage4,C_U1_snr5_20,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A11,stage4,G1_gate_scalar,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A12,stage4,G2_gate_snr,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A13,stage5,C1_snr_balanced_P20,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A14,stage5,C2_urformer_P10,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A15,stage5,C3_urformer_P35,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A16,stage5,C4_g1_P10,spectral,yes,"trained with init='spectral', matching every stage script and the evaluation harness after the PROMPT 15 A2 fix"
A17,p12_partC,C1_H1_seed2,random,no,"trained with init='random' -- scratch/p12_partC.py inherited the TrackDConfig default (config.py:324) instead of setting the spectral initialiser, so the arm learned from a different G0 than every arm it is compared against"
A18,p12_partC,C1_H1_seed3,random,no,"trained with init='random' -- scratch/p12_partC.py inherited the TrackDConfig default (config.py:324) instead of setting the spectral initialiser, so the arm learned from a different G0 than every arm it is compared against"
A19,p12_partC,C1_U1_seed2,random,no,"trained with init='random' -- scratch/p12_partC.py inherited the TrackDConfig default (config.py:324) instead of setting the spectral initialiser, so the arm learned from a different G0 than every arm it is compared against"
A20,p12_partC,C1_U1_seed3,random,no,"trained with init='random' -- scratch/p12_partC.py inherited the TrackDConfig default (config.py:324) instead of setting the spectral initialiser, so the arm learned from a different G0 than every arm it is compared against"
A21,p12_partC,C2_H1_balanced,random,no,"trained with init='random' -- scratch/p12_partC.py inherited the TrackDConfig default (config.py:324) instead of setting the spectral initialiser, so the arm learned from a different G0 than every arm it is compared against"
A22,p12_partC,C3_U1_logdb,random,no,"trained with init='random' -- scratch/p12_partC.py inherited the TrackDConfig default (config.py:324) instead of setting the spectral initialiser, so the arm learned from a different G0 than every arm it is compared against"
